step,lang_loss,tri_loss,lr,entropy,dead_bits,elapsed_s
11301,1.3480,0.0000,0.000266,0.9821,0,1937
11351,1.3862,0.0000,0.000266,0.9808,0,1946
11401,1.4136,0.0000,0.000266,0.9803,0,1954
11451,1.3068,0.0000,0.000265,0.9818,0,1963
11501,1.3948,0.0000,0.000265,0.9795,0,1972
11551,1.4047,0.0000,0.000265,0.9777,0,1980
11601,1.3400,0.0000,0.000264,0.9823,0,1989
11651,1.4372,0.0000,0.000264,0.9818,0,1997
11701,1.3600,0.0000,0.000264,0.9807,0,2006
11751,1.3789,0.0000,0.000263,0.9793,0,2014
11801,1.3549,0.0000,0.000263,0.9812,0,2023
11851,1.3405,0.0000,0.000263,0.9786,0,2032
11901,1.3308,0.0000,0.000262,0.9788,0,2040
11951,1.3345,0.0000,0.000262,0.9800,0,2049
12001,1.3268,0.0000,0.000262,0.9812,0,2057
12051,1.3766,0.0000,0.000261,0.9791,0,2066
12101,1.3831,0.0000,0.000261,0.9802,0,2074
12151,1.3767,0.0000,0.000261,0.9820,0,2083
12201,1.3679,0.0000,0.000261,0.9811,0,2092
12251,1.3978,0.0000,0.000260,0.9808,0,2100
12301,1.3464,0.0000,0.000260,0.9799,0,2109
12351,1.3336,0.0000,0.000260,0.9802,0,2117
12401,1.3648,0.0000,0.000259,0.9788,0,2126
12451,1.3412,0.0000,0.000259,0.9778,0,2134
12501,1.3050,0.0000,0.000259,0.9788,0,2143
12551,1.3708,0.0000,0.000258,0.9803,0,2152
12601,1.3136,0.0000,0.000258,0.9801,0,2160
12651,1.3331,0.0000,0.000258,0.9807,0,2169
12701,1.3297,0.0000,0.000257,0.9792,0,2177
12751,1.2991,0.0000,0.000257,0.9772,0,2186
12801,1.2848,0.0000,0.000257,0.9797,0,2194
12851,1.3033,0.0000,0.000256,0.9811,0,2203
12901,1.2854,0.0000,0.000256,0.9782,0,2212
12951,1.3233,0.0000,0.000256,0.9812,0,2220
13001,1.3266,0.0000,0.000255,0.9805,0,2229
13051,1.3403,0.0000,0.000255,0.9787,0,2237
13101,1.3355,0.0000,0.000255,0.9798,0,2246
13151,1.2638,0.0000,0.000254,0.9802,0,2254
13201,1.2823,0.0000,0.000254,0.9819,0,2263
13251,1.2823,0.0000,0.000254,0.9766,0,2272
13301,1.2565,0.0000,0.000253,0.9786,0,2280
13351,1.3271,0.0000,0.000253,0.9809,0,2289
13401,1.3191,0.0000,0.000252,0.9787,0,2297
13451,1.3150,0.0000,0.000252,0.9803,0,2306
13501,1.3215,0.0000,0.000252,0.9776,0,2314
13551,1.3029,0.0000,0.000251,0.9786,0,2323
13601,1.3110,0.0000,0.000251,0.9797,0,2332
13651,1.2138,0.0000,0.000251,0.9806,0,2340
13701,1.3347,0.0000,0.000250,0.9801,0,2349
13751,1.2784,0.0000,0.000250,0.9793,0,2357
13801,1.3414,0.0000,0.000250,0.9800,0,2366
13851,1.3197,0.0000,0.000249,0.9820,0,2374
13901,1.2800,0.0000,0.000249,0.9783,0,2383
13951,1.2819,0.0000,0.000249,0.9816,0,2392
14001,1.2926,0.0000,0.000248,0.9783,0,2400
14051,1.3268,0.0000,0.000248,0.9791,0,2409
14101,1.2457,0.0000,0.000248,0.9823,0,2417
14151,1.2715,0.0000,0.000247,0.9801,0,2426
14201,1.3176,0.0000,0.000247,0.9803,0,2434
14251,1.2768,0.0000,0.000246,0.9817,0,2443
14301,1.2586,0.0000,0.000246,0.9811,0,2452
14351,1.2769,0.0000,0.000246,0.9802,0,2460
14401,1.2923,0.0000,0.000245,0.9799,0,2469
14451,1.2814,0.0000,0.000245,0.9804,0,2477
14501,1.2865,0.0000,0.000245,0.9813,0,2486
14551,1.2185,0.0000,0.000244,0.9826,0,2494
14601,1.3029,0.0000,0.000244,0.9810,0,2503
14651,1.2885,0.0000,0.000243,0.9803,0,2512
14701,1.2524,0.0000,0.000243,0.9812,0,2520
14751,1.2804,0.0000,0.000243,0.9758,0,2529
14801,1.2691,0.0000,0.000242,0.9821,0,2537
14851,1.3049,0.0000,0.000242,0.9805,0,2546
14901,1.2140,0.0000,0.000242,0.9809,0,2554
14951,1.3047,0.0000,0.000241,0.9793,0,2563
15001,1.2898,0.0000,0.000241,0.9790,0,2572
15051,1.2366,0.0000,0.000240,0.9801,0,2580
15101,1.2630,0.0000,0.000240,0.9805,0,2589
15151,1.3082,0.0000,0.000240,0.9799,0,2597
15201,1.2679,0.0000,0.000239,0.9794,0,2606
15251,1.1893,0.0000,0.000239,0.9824,0,2614
15301,1.2349,0.0000,0.000239,0.9800,0,2623
15351,1.2198,0.0000,0.000238,0.9815,0,2632
15401,1.2846,0.0000,0.000238,0.9786,0,2640
15451,1.2713,0.0000,0.000237,0.9804,0,2649
15501,1.2977,0.0000,0.000237,0.9796,0,2657
15551,1.2603,0.0000,0.000237,0.9816,0,2666
15601,1.2175,0.0000,0.000236,0.9804,0,2674
15651,1.2956,0.0000,0.000236,0.9826,0,2683
15701,1.2398,0.0000,0.000235,0.9802,0,2691
15751,1.2215,0.0000,0.000235,0.9819,0,2700
15801,1.2740,0.0000,0.000235,0.9781,0,2709
15851,1.2749,0.0000,0.000234,0.9780,0,2717
15901,1.1988,0.0000,0.000234,0.9796,0,2726
15951,1.2269,0.0000,0.000233,0.9824,0,2734
16001,1.1566,0.0000,0.000233,0.9816,0,2743
16051,1.2499,0.0000,0.000233,0.9814,0,2751
16101,1.1707,0.0000,0.000232,0.9811,0,2760
16151,1.1889,0.0000,0.000232,0.9807,0,2769
16201,1.2481,0.0000,0.000231,0.9776,0,2777
16251,1.2159,0.0000,0.000231,0.9829,0,2786
16301,1.1909,0.0000,0.000231,0.9809,0,2794
16351,1.2568,0.0000,0.000230,0.9799,0,2803
16401,1.2490,0.0000,0.000230,0.9793,0,2811
16451,1.2249,0.0000,0.000229,0.9803,0,2820
16501,1.2269,0.0000,0.000229,0.9801,0,2829
16551,1.2113,0.0000,0.000229,0.9789,0,2837
16601,1.2400,0.0000,0.000228,0.9810,0,2846
16651,1.1982,0.0000,0.000228,0.9799,0,2854
16701,1.2423,0.0000,0.000227,0.9792,0,2863
16751,1.2520,0.0000,0.000227,0.9806,0,2871
16801,1.1960,0.0000,0.000227,0.9790,0,2880
16851,1.2227,0.0000,0.000226,0.9813,0,2889
16901,1.2190,0.0000,0.000226,0.9786,0,2897
16951,1.2106,0.0000,0.000225,0.9794,0,2906
17001,1.2230,0.0000,0.000225,0.9796,0,2914
17051,1.1739,0.0000,0.000225,0.9791,0,2923
